time,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10
14:15:49,9,8,3,6,1,7,0,8,1,2
14:15:51,3,9,6,5,2,9,7,4,8,2
14:15:54,3,6,4,1,8,8,2,4,3,1
14:15:57,9,4,2,2,8,7,0,9,9,0
14:16:00,0,0,4,3,2,1,6,8,7,4
14:16:03,7,8,2,8,7,9,0,5,9,5
14:16:06,4,4,6,0,9,4,7,4,4,7
14:16:09,2,0,8,5,4,6,2,3,9,5
14:16:12,9,2,2,8,7,1,1,8,5,3
14:16:15,8,9,5,1,0,1,2,9,0,6
14:16:18,4,2,3,4,6,1,4,3,2,4
14:16:21,2,9,7,1,8,3,3,5,5,1
14:16:24,3,2,5,4,4,7,5,1,8,3
14:16:27,6,4,0,1,1,4,6,6,2,1
